id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50217271,NEW! The East White House in Trendy East Austin,57784908,Vero & Josh,,78702,30.27645,-97.72169,Entire home/apt,173,2,9,2021-11-27,3.91,1,59,9,
50217447,Modern Studio 1 mile from Downtown & Zilker Park,6431351,Annie,,78703,30.27956,-97.76632,Entire home/apt,101,1,18,2021-12-06,5.81,1,80,18,
50225340,*South Austin Gem* Cozy Private Room,67797405,Jon & Cherry,,78748,30.15257,-97.80745,Private room,52,1,41,2021-12-11,7.78,2,62,41,
50227689,Hill Country Casita Grande w/Pool and Hot Tub,38502164,Kathy,,78737,30.16494,-98.00465,Entire home/apt,92,30,1,2021-09-10,0.32,1,176,1,
50227831,Simple but Comfy 1b/1b- Mueller Market District-,404049518,Jessica,,78723,30.29594,-97.68645,Entire home/apt,94,3,9,2021-11-21,1.63,1,40,9,
50228438,Gorgeous Open Concept Home in Heart of Zilker with Fully Equipped Kitchen,251180254,Jon - Austin Vacay,,78704,30.25383,-97.77196,Entire home/apt,122,1,30,2021-11-28,5.56,7,340,30,
50228489,This is what you want!,209903467,Juan,,78702,30.25634,-97.71995,Entire home/apt,250,1,27,2021-12-05,5.26,2,73,27,
50229761,"Stylish 3-bedroom home, great light, home office",138964285,Tom,,78721,30.27571,-97.68232,Entire home/apt,120,45,0,,,1,343,0,
50230708,Cozy1Br/1Ba minutes from the DOMAIN,210165986,Luxury Dwelling,,78728,30.47008,-97.68907,Private room,55,1,15,2021-10-23,2.50,4,344,15,
50230914,Cozy1Br/1Ba minutes from the Domain,210165986,Luxury Dwelling,,78728,30.46947,-97.69015,Private room,55,1,19,2021-11-26,3.06,4,365,19,
50231539,Apartment NW Austin,346467141,Enrique,,78750,30.44085,-97.78776,Entire home/apt,103,2,4,2021-11-15,0.75,1,180,4,
